Type,Number of Rooms,Number of Bathrooms,Area (sqft),Amenities Distance Avg (km),Parking Spaces,Age (years),Location,Crime Rate,Lower Status Population,Avg People in Building,Rent Price
Flat,3,3,483.268,11.4928,1,20.9,New Delhi,0.9,0.31,1.7141,36127.75204
Flat,2,1,580.697,1.722,1,12.2,Mayur Vihar,0.41,2.15,39.0298,29090.56354
Flat,2,2,546.211,0.4092,0,18.1,Dwarka,1.45,7.27,20.0036,25612.54354
PG,1,1,205.468,10.5959,1,18.8,New Delhi,1.36,3.43,54.0488,16324.85655
Flat,4,2,688.533,1.4167,0,3.7,Greater Noida,0.27,8.41,32.683,40237.58922
Flat,3,1,880.687,13.8528,1,2.2,Faridabad,1.92,5.96,42.6304,37582.70501
PG,1,1,156.694,2.7688,1,22.1,Dwarka,0.06,8.56,24.3861,12338.50489
PG,1,1,148.687,5.9613,0,8.2,Vasant Kunj,0.57,9.84,20.644,11233.12185
PG,1,1,206.823,10.3786,1,20.1,New Delhi,0.2,5.64,52.2271,16896.17325
Flat,4,1,826.418,6.9654,0,9.3,Saket,0.32,5.08,41.2035,40209.31145
Flat,4,3,567.921,8.1006,2,6.1,Mayur Vihar,1.7,2.11,10.1735,41427.96366
Flat,3,2,697.964,4.4596,0,18.6,New Delhi,0.31,2.68,50.485,42015.92367
PG,1,1,135.356,11.4169,1,7.7,Saket,0.11,7.19,7.8604,12301.09444
Flat,1,1,133.486,7.1735,0,17,Mayur Vihar,0.44,3.51,33.2918,10344.77505
PG,1,1,110.504,6.6387,2,7,Gurgaon,0.38,7.15,49.3614,16427.08668
Flat,2,1,374.578,2.7121,2,13.3,Gurgaon,1.32,8.51,8.8406,23865.77609
Flat,2,2,283.928,2.5027,2,12.6,Gurgaon,1.32,6.31,31.8239,25342.32799
Flat,2,2,343.45,6.8835,0,4.3,Saket,1.58,4.05,34.1287,22658.72614
Flat,2,2,450.071,3.9845,1,8.5,Mayur Vihar,1.48,6.39,54.7975,27406.51953
Flat,2,2,416.467,3.175,1,24.1,New Delhi,0.94,8.42,59.9465,28583.13263
Flat,2,1,392.238,1.0543,0,17.7,Mayur Vihar,1.36,8.87,47.0438,19897.09708
Flat,1,1,218.057,5.0947,0,7.9,Mayur Vihar,0.34,1.14,8.9542,15031.18811
Flat,3,3,672.006,4.4419,2,3.5,Mayur Vihar,0.69,7.18,17.4684,40707.81074
PG,1,1,113.854,6.2905,2,10.3,Vasant Kunj,1.37,6.49,25.7137,13489.21598
PG,1,1,224.559,0.8063,1,6.7,Saket,1.24,3.93,11.3145,15664.50245
Flat,4,4,878.034,13.6741,0,16,Gurgaon,1.81,7.89,42.5615,46557.97656
Flat,3,1,620.831,14.1286,1,20.7,Dwarka,1.55,7.73,8.5297,29172.1204
Flat,1,1,214.98,2.4483,2,0.8,New Delhi,0.41,0.33,1.375,19816.48775
Flat,4,2,636.329,7.0204,2,6,Gurgaon,0.61,4.53,30.0056,45174.19123
Flat,4,3,905.815,12.9964,2,10.2,Vasant Kunj,0.74,3.8,44.7117,48870.37022
Flat,1,1,161.193,13.2854,1,21.7,Faridabad,0.48,0.6,31.3573,12612.59125
Flat,4,1,614.327,13.7614,2,24.2,Noida,0.85,7.33,22.1184,36817.55372
Flat,4,3,1148.778,10.3918,1,18.6,Mayur Vihar,0.09,3.29,37.8012,52323.23916
Flat,2,1,587.844,4.3895,2,9.6,Greater Noida,1.74,4.01,22.9889,29366.38911
Flat,4,2,949.915,1.8207,0,18.7,Saket,1.68,7.69,5.558,43012.52861
PG,1,1,230.545,5.8397,0,4.2,Vasant Kunj,1.77,3.37,58.8542,13540.87308
Flat,2,1,557.911,7.5587,2,11.4,Faridabad,0.25,1.26,5.0213,30259.80373
PG,1,1,134.721,10.8225,1,12.3,Gurgaon,0.9,4.68,14.0824,12075.49968
PG,1,1,128.694,13.9611,0,13.7,Vasant Kunj,0.02,0.04,37.63,11766.05732
Flat,3,1,757.173,4.609,0,9.7,Mayur Vihar,1.2,8.28,11.8636,33529.40737
Flat,3,2,485.355,13.969,2,24.8,Saket,1.41,6.94,59.0747,30545.15828
Flat,2,2,276.348,0.614,0,23.5,Vasant Kunj,0.05,2.48,31.5863,22356.65593
PG,1,1,187.646,12.1426,0,10.5,Noida,1.21,6.45,17.7661,11714.66757
PG,1,1,197.652,4.0405,2,17.5,Gurgaon,1.26,8.29,56.9787,15921.49537
PG,1,1,235.731,6.8808,2,1.1,Greater Noida,1.86,9.95,41.8281,15644.46093
PG,1,1,138.935,0.5748,0,19.6,Greater Noida,0.74,0.38,14.5421,11552.10355
Flat,4,4,754.3,10.4912,2,2.2,Vasant Kunj,0.61,0.45,4.1161,50136.30981
Flat,1,1,261.719,9.6046,0,19.3,Mayur Vihar,0.27,8.32,53.7317,12749.60919
Flat,1,1,190.897,13.6577,1,13.7,Noida,0.4,3.1,53.6508,15264.96386
Flat,1,1,139.068,3.7155,0,17.7,Gurgaon,0.2,1.62,9.424,12398.64724
Flat,2,2,279.21,8.3776,1,15.5,Dwarka,0.47,9.16,21.865,21033.93103
Flat,1,1,291.481,0.9631,0,11.5,Noida,0.2,5.53,40.3424,15183.89197
Flat,2,2,436.686,14.205,1,24.8,Vasant Kunj,0.13,2.44,38.264,25704.96892
PG,1,1,159.783,14.5571,0,5.5,Dwarka,1.42,9.01,8.9837,9306.540693
Flat,3,1,513.14,2.4467,1,0.3,Greater Noida,0.74,3.9,31.3532,33159.9814
PG,1,1,231.759,7.7745,0,11,Mayur Vihar,0.7,7.27,41.5563,13842.42768
Flat,3,1,491.428,10.4578,1,8.1,Mayur Vihar,1.59,0.61,42.974,30916.12646
PG,1,1,185.459,3.5578,0,12.6,Mayur Vihar,1.15,3.82,19.5224,11360.60609
Flat,2,1,463.586,10.9038,0,0.1,Gurgaon,0.55,1.94,24.4067,25541.84165
Flat,4,4,1124.972,7.8888,2,19.7,Vasant Kunj,1.12,5.22,58.821,56519.49469
Flat,4,2,1007.481,4.735,1,8.2,Dwarka,0.47,4.08,31.3278,48863.82734
PG,1,1,199.792,9.7596,1,8.8,Noida,1.8,1.22,4.4387,13375.70224
Flat,3,1,478.827,6.607,2,8.2,Greater Noida,0.36,3.73,3.0221,32990.78753
PG,1,1,152.251,9.7529,0,24.8,Saket,1.86,0.29,44.077,10594.03897
Flat,1,1,299.334,10.4104,1,13.7,Saket,0.24,8.18,15.4011,16272.82667
Flat,3,2,730.462,14.6102,2,4.4,Greater Noida,1.84,1.86,29.6896,39032.82241
Flat,2,1,495.298,13.4238,0,21,Gurgaon,0.36,0.75,52.4224,26062.60048
Flat,3,1,570.044,8.3896,2,2.9,Faridabad,0.14,7.68,51.2457,34634.2682
Flat,4,1,509.464,14.5496,1,13.1,Gurgaon,1.16,4.44,58.421,36632.00003
Flat,4,1,1026.186,6.2052,2,19.9,Faridabad,0.94,9.12,40.8351,47691.98876
PG,1,1,188.81,4.3304,2,23.3,Gurgaon,1.41,8.52,32.8062,14841.85021
Flat,4,1,702.231,1.3261,2,18.8,Vasant Kunj,0.92,6.54,19.6396,40904.28334
Flat,2,1,294.686,3.9493,0,7.2,Gurgaon,0.89,0.75,1.4236,21500.20095
Flat,4,4,946.143,0.5023,2,18.2,Saket,1.21,3.13,15.6491,51004.45772
Flat,4,4,700.116,0.1177,1,22.5,Saket,1.6,8.19,5.4656,41893.78885
Flat,2,1,,12.3244,1,12.5,Gurgaon,0.25,9.1,45.7512,33324.32
PG,1,1,157.173,2.2897,0,23.3,Mayur Vihar,0.5,6.77,28.1264,11703.16908
Flat,3,2,706.201,8.5876,2,13.6,Noida,1.13,5.29,8.8656,37211.16109
PG,1,1,171.505,10.6189,1,10.8,Mayur Vihar,1.72,4.81,58.5123,14199.74653
Flat,3,3,417.521,9.0409,1,4.6,New Delhi,0.2,7.01,44.3026,36513.91528
Flat,4,4,531.532,6.7347,2,17,Gurgaon,0.98,9.74,38.7057,43960.45297
Flat,3,2,376.377,5.293,1,16.6,Gurgaon,1.68,5.75,23.9106,29782.71669
Flat,1,1,161.82,12.1669,1,2.9,Mayur Vihar,1.72,8.93,33.9318,12214.22759
Flat,1,1,272.422,1.6836,2,17.1,Faridabad,0.27,9.34,18.0133,18403.95347
PG,1,1,218.906,4.3929,0,20.7,Mayur Vihar,1.88,6.16,46.9799,10575.76228
PG,1,1,132.678,5.902,1,19.6,New Delhi,1.79,3.75,59.6297,13120.72749
Flat,1,1,174.307,2.4706,1,14.9,Noida,0.18,9.95,54.228,13650.8364
Flat,1,1,133.647,13.0784,2,18,Gurgaon,0.01,8.16,6.9613,13527.46916
PG,1,1,147.799,6.7359,1,15.4,Vasant Kunj,1.4,7.08,30.0865,12824.99963
Flat,3,3,882.795,10.8057,0,17.9,Gurgaon,0.64,9.93,55.5499,42855.34837
PG,1,1,119.443,9.5276,1,2.5,New Delhi,0.03,3.52,11.1959,14402.05184
PG,1,1,124.809,0.5669,0,13.7,New Delhi,1.91,5.36,45.5727,12331.2705
Flat,1,1,282.155,8.8398,2,6.2,Noida,0.07,0.83,6.887,19300.27222
Flat,3,3,552.589,11.6668,0,2.7,Gurgaon,1.49,0.28,43.102,34910.2545
Flat,1,1,197.397,2.7865,2,22.5,Greater Noida,0.39,2.67,29.308,16854.92966
PG,1,1,180.605,6.9984,2,3.4,Vasant Kunj,1.57,0.72,49.825,18403.7852
PG,1,1,187.613,9.9217,1,7.7,Vasant Kunj,1.01,3.94,11.5748,13682.26765
PG,1,1,164.058,11.2424,0,16.4,Faridabad,0.3,4.33,50.3836,11799.10856
Flat,1,1,236.597,0.1533,2,6.4,Gurgaon,0.92,6.88,44.4561,19823.323
Flat,2,2,559.522,10.7732,1,0.6,Faridabad,0.62,9.36,27.4393,29154.53313
PG,1,1,190.87,13.2044,0,4.8,Greater Noida,0.25,7.84,10.3084,11207.71958
Flat,3,3,882.813,2.5027,0,5.5,Saket,1.49,0.17,34.5967,42202.07458
Flat,3,1,606.98,4.5758,0,4.4,Faridabad,0.03,6.14,18.2727,32132.75343
Flat,4,4,849.222,6.3876,1,22.2,Faridabad,0.39,6.65,18.544,47737.90317
PG,1,1,168.053,14.1161,1,6,Vasant Kunj,0.45,8.73,15.9125,12667.49314
Flat,1,1,121.426,12.7026,2,16.3,Faridabad,0.54,2.81,43.1834,14607.79614
Flat,2,2,568.454,2.2922,1,17.2,Mayur Vihar,0.98,6.67,55.2831,29391.83869
Flat,4,1,832.8,14.7975,0,7.1,Greater Noida,1.59,3.87,40.2332,38664.04733
Flat,4,2,634.728,5.4386,2,16.2,Greater Noida,0.26,9.17,29.1653,40660.57878
Flat,3,1,427.871,4.9702,1,20.9,Noida,0.98,0.84,39.5635,28757.55486
PG,1,1,235.937,6.3847,1,24.5,Saket,1.34,2.09,6.5825,13733.83938
Flat,1,1,246.797,4.4394,0,15.4,Vasant Kunj,1.19,2.89,26.239,12899.06327
PG,1,1,162.059,10.9733,0,14.4,Dwarka,1.57,8.05,58.8347,10719.11366
Flat,4,4,681.227,11.6663,2,1,Faridabad,1.14,4.66,15.3198,46468.90937
Flat,3,1,884.808,6.1214,2,13.3,Gurgaon,0.98,2.85,6.4156,43506.48133
Flat,2,1,433.676,5.1019,0,21.9,Saket,1.11,7.42,48.1623,20453.89046
Flat,1,1,176.694,4.5554,2,6.5,Mayur Vihar,0.27,4.17,49.0765,18033.03808
Flat,2,2,252.949,6.6581,1,8,Dwarka,1.22,3.06,33.1656,23230.62222
Flat,1,1,267.352,9.7439,1,6.5,Saket,1.32,3.78,38.5359,16172.88109
Flat,1,1,123.209,3.9623,2,15.5,Saket,0.22,1.36,45.2987,16321.39953
Flat,3,3,577.157,14.0007,1,11.5,Saket,0.89,1.96,37.0971,36167.26455
Flat,1,1,147.47,2.5926,0,24.5,Faridabad,0.6,8.08,30.252,9996.291231
Flat,3,1,594.658,7.2306,0,17.3,New Delhi,0.23,0.6,42.1909,36608.06196
PG,1,1,218.184,3.8717,0,16.1,Faridabad,0.85,4.57,54.4671,13407.39718
PG,1,1,158.722,2.0807,0,18.9,Faridabad,0.63,4.18,28.8255,10751.70571
Flat,1,1,202.035,10.7327,2,20.6,Faridabad,0.69,3.04,28.793,15855.06782
Flat,4,2,861.225,2.8634,2,21.2,Gurgaon,0.55,7.33,44.3271,48342.24811
Flat,3,3,819.597,6.7614,0,10.3,Gurgaon,0.58,5.62,57.3018,43449.21834
Flat,1,1,171.152,5.34,2,9.1,Dwarka,1.45,1.3,32.2346,15528.3127
Flat,3,1,588.006,5.8868,1,5.5,Dwarka,0.14,1.18,40.3457,34418.38837
PG,1,1,225.454,1.3128,0,9.3,Gurgaon,1.35,4,6.4901,13196.20903
Flat,1,1,230.983,1.1563,1,11.3,Mayur Vihar,1.33,4.07,11.4895,14451.77407
Flat,3,2,391.671,2.9016,1,6.4,Faridabad,0.15,5.54,44.0371,32408.69005
Flat,2,1,372.211,2.4638,2,7.5,Saket,1.8,4.87,4.2157,24071.7006
Flat,1,1,218.701,12.5669,2,7.9,Saket,1.14,6.53,48.9737,15971.58083
Flat,2,1,512.966,4.7678,1,17.9,Gurgaon,1.65,7.89,30.1886,24825.9949
PG,1,1,180.342,12.2343,1,2.9,,1.23,3.1,33.34,20122.34
Flat,2,2,558.971,13.0258,1,1.3,Gurgaon,1.48,2.22,34.3968,30863.38963
Flat,4,3,1004.434,4.8446,2,3,Saket,1.85,5.02,22.461,51579.73866
Flat,2,2,523.658,3.3005,0,16.4,New Delhi,0.94,3.23,17.8069,30183.10079
Flat,1,1,254.106,11.4865,0,15.5,Mayur Vihar,0.84,0.89,50.5529,14708.14559
PG,1,1,201.165,13.1066,2,3.2,Saket,0.41,9.48,31.2499,15937.95069
Flat,3,3,826.467,2.6587,1,3.6,Noida,0.59,2.25,25.8909,42523.99439
Flat,2,2,365.08,14.352,1,8.6,Faridabad,0.54,4.65,56.5553,24274.81594
Flat,1,1,245.898,6.4388,1,21.2,Noida,0.52,0.67,19.6504,15346.13357
Flat,2,2,582.676,3.9903,0,21.1,Dwarka,1.58,6.74,10.7517,25856.3606
Flat,1,1,289.19,3.8219,2,15,Dwarka,0.2,1.08,23.7722,19079.75042
Flat,3,1,880.228,10.5725,1,24.3,Vasant Kunj,1.13,5.01,56.0015,37267.14086
Flat,2,2,576,12.8199,1,1.8,Noida,0.56,5.14,32.5529,29773.87178
PG,1,1,169.312,14.3547,1,9.2,Mayur Vihar,0.51,9.59,49.8985,13514.24024
Flat,1,1,176.263,10.4829,0,8.8,Dwarka,0.34,6.9,44.5529,12573.27071
Flat,1,1,236.68,9.4156,0,11.4,Saket,1.98,7.86,57.9164,12597.63484
Flat,4,3,1042.927,1.2056,1,7.5,Greater Noida,1.56,4.14,49.0311,51058.79118
Flat,3,2,653.655,4.5754,0,4.1,Gurgaon,0.97,8.46,1.4665,34352.57957
Flat,2,2,457.407,13.5193,0,15.1,Vasant Kunj,0.43,8.65,31.919,24037.36229
Flat,2,2,331.344,2.3723,2,23.4,Vasant Kunj,0.03,4.35,17.0951,25519.81971
PG,1,1,107.63,9.6591,0,12.2,Saket,0.8,9.48,22.3505,9507.763661
Flat,1,1,150.281,13.7317,0,13.2,Mayur Vihar,0.58,1.42,28.3406,11823.0895
Flat,1,1,167.809,10.8073,1,2.1,Saket,0.85,4,33.0597,15230.29978
Flat,2,2,317.95,10.4189,2,12.8,Gurgaon,0.51,9.02,23.9387,25806.30251
Flat,4,1,980.576,11.9583,2,4.9,Gurgaon,0.56,2.92,21.938,51478.43093
PG,1,1,177.482,5.444,2,12.8,Noida,1.74,1.66,18.2341,15270.82496
PG,1,1,121.579,6.4398,1,2,Dwarka,1.47,0.63,59.1175,14724.59607
Flat,1,1,159.232,5.5856,2,4.9,Saket,1.62,1.4,3.2354,15354.17128
PG,1,1,202.675,11.6501,2,1.7,Dwarka,0.11,8.71,30.35,17571.66381
Flat,3,1,504.567,4.9934,1,21.3,Mayur Vihar,0.02,0.72,23.7252,31823.52782
Flat,1,1,165.64,2.0748,2,12.9,Saket,0.38,9.74,22.1529,16043.48458
PG,1,1,119.197,6.7077,1,6.4,Gurgaon,0.46,5.16,30.1495,14311.52733
Flat,1,1,215.882,5.685,2,24.3,Dwarka,0.09,2.06,54.8273,17080.49228
Flat,4,4,510.359,14.4709,2,14,Faridabad,0.61,8.22,3.2991,40475.10147
Flat,1,1,232.13,1.1262,0,7.6,Dwarka,0.31,5.11,8.3248,14095.95273
PG,1,1,130.028,12.6031,0,10.9,Mayur Vihar,1.3,9.89,50.6056,9161.265943
Flat,2,2,556.206,1.4264,1,0.6,Mayur Vihar,0.05,2.7,14.9754,31294.86131
PG,1,1,141.787,12.9247,2,23.8,Noida,1.73,0.22,50.009,13343.69212
PG,1,1,114.448,10.3391,2,2.9,Gurgaon,0.06,8.65,45.2154,16172.10783
Flat,2,2,293.931,2.6279,1,16.8,Greater Noida,1.11,5.28,22.6315,21855.0833
PG,1,1,165.042,12.6287,0,2.5,Saket,1.69,1.09,30.2589,12475.57475
Flat,2,2,576.442,14.9765,2,14,Vasant Kunj,0.59,9.68,32.1208,30013.28616
Flat,2,2,556.762,11.2276,1,15.9,Gurgaon,1.3,5.53,38.0674,28662.20073
Flat,4,4,694.674,11.875,0,24.2,Mayur Vihar,1.02,9.32,16.7049,39827.88251
Flat,2,2,563.213,5.6604,0,10.6,Noida,0.36,6.06,19.786,27743.14295
PG,1,1,131.101,14.6913,2,24.1,Saket,0.21,7.49,44.61,13148.11119
PG,1,1,111.047,11.258,0,0.5,Dwarka,1.31,8,31.308,9410.357366
Flat,2,2,391.088,7.2098,2,23.2,Noida,1,0.68,15.453,26992.69592
PG,1,1,147.451,2.151,1,20.1,Noida,1.59,3.41,39.082,12093.07702
PG,1,1,161.946,5.8211,1,0.2,Noida,0.12,6.41,53.8747,16544.11197
Flat,1,1,163.005,0.8824,1,23.1,Noida,0.49,3.12,3.6489,13722.37455
Flat,3,3,367.719,0.6479,1,13.1,Faridabad,1.64,3.14,1.186,31319.6545
Flat,2,1,356.424,8.4793,1,5.9,Gurgaon,0.39,4.59,51.5949,24875.13586
Flat,2,2,412.452,6.0404,1,23,Noida,0.88,1.7,30.9671,24384.6708
